HR,HIP,Name,RA_hours,RA_deg,Dec,Mag
2890,,66Alp Gem,7.576666666666666,113.64999999999999,31.88861111111111,2.88
2286,30343,13Mu  Gem,6.382666666666666,95.74,22.51361111111111,2.88
5944,78265,6Pi  Sco,15.98086111111111,239.71291666666667,-26.11416666666667,2.89
7264,94141,41Pi  Sgr,19.16272222222222,287.44083333333333,-21.02361111111111,2.89
6084,80112,20Sig Sco,16.35313888888889,245.29708333333335,-25.592777777777776,2.89
5671,74946,Gam TrA,15.315166666666668,229.72750000000002,-68.67944444444444,2.89
1220,18532,45Eps Per,3.9642222222222223,59.46333333333334,40.01027777777778,2.89
4915,63125,12Alp2CVn,12.933805555555557,194.00708333333336,38.318333333333335,2.9
2845,36188,3Bet CMi,7.452500000000001,111.78750000000001,8.289444444444444,2.9
8232,106278,22Bet Aqr,21.525972222222222,322.88958333333335,-5.571111111111111,2.91
2553,32768,Tau Pup,6.832277777777778,102.48416666666667,-50.61472222222223,2.93
915,14328,23Gam Per,3.0799444444444446,46.19916666666667,53.506388888888885,2.93
8650,112158,44Eta Peg,22.716694444444443,340.75041666666664,30.22138888888889,2.94
4757,60965,7Del Crv,12.49775,187.46625,-16.515555555555554,2.95
1231,18543,34Gam Eri,3.967166666666667,59.50750000000001,-13.508611111111112,2.95
6510,85792,Alp Ara,17.530694444444443,262.9604166666666,-49.876111111111115,2.95
8414,109074,34Alp Aqr,22.09638888888889,331.4458333333333,-0.3197222222222222,2.96
2473,32246,27Eps Gem,6.732194444444445,100.98291666666667,25.13111111111111,2.98
3873,47908,17Eps Leo,9.764194444444444,146.46291666666664,23.774166666666666,2.98
6746,88635,10Gam2Sgr,18.096805555555555,271.45208333333335,-30.424166666666668,2.99
7235,93747,17Zet Aql,19.090166666666665,286.35249999999996,13.863333333333333,2.99
1605,23416,7Eps Aur,5.032805555555555,75.49208333333333,43.82333333333334,2.99
5020,64962,46Gam Hya,13.315361111111113,199.73041666666668,-23.171666666666667,3.0
4630,59316,2Eps Crv,12.16875,182.53125,-22.619722222222222,3.0
1910,26451,123Zet Tau,5.627416666666667,84.41125000000001,21.1425,3.0
622,10064,4Bet Tri,2.1590555555555553,32.38583333333333,34.98722222222222,3.0
1122,17358,39Del Per,3.715416666666667,55.73125,47.7875,3.01
8353,108085,Gam Gru,21.898805555555555,328.4820833333333,-37.365,3.01
4335,54539,52Psi UMa,11.161055555555556,167.41583333333335,44.49861111111111,3.01
3890,48002,Ups Car,9.785027777777778,146.77541666666667,-65.07194444444444,3.01
2653,33977,24Omi2CMa,7.050416666666666,105.75625,-23.833333333333332,3.02
2282,30122,1Zet CMa,6.338555555555555,95.07833333333332,-30.063333333333333,3.02
6615,87073,Iot1Sco,17.793083333333335,266.89625,-40.12694444444445,3.03
5435,71075,27Gam Boo,14.534638888888889,218.01958333333334,38.30833333333333,3.03
5193,67472,Mu  Cen,13.826944444444445,207.40416666666667,-42.473888888888894,3.04
681,10826,68Omi Cet,2.3224166666666664,34.83624999999999,-2.9775,3.04
4069,50801,34Mu  UMa,10.37213888888889,155.58208333333334,41.49944444444444,3.05
4844,62322,Bet Mus,12.771361111111112,191.5704166666667,-68.10805555555555,3.05
5735,75097,13Gam UMi,15.345472222222222,230.18208333333334,71.83388888888888,3.05
7310,94376,57Del Dra,19.20925,288.13875,67.66166666666668,3.07
7417,95947,6Bet1Cyg,19.512027777777778,292.68041666666664,27.959722222222222,3.08
6247,82514,Mu 1Sco,16.864500000000003,252.96750000000006,-38.0475,3.08
7776,100345,9Bet Cap,20.350194444444448,305.2529166666667,-14.78138888888889,3.08
6832,89642,Eta Sgr,18.29377777777778,274.4066666666667,-36.76166666666666,3.11
3547,43813,16Zet Hya,8.923222222222222,133.84833333333333,5.945555555555556,3.11
7869,101772,Alp Ind,20.62611111111111,309.39166666666665,-47.29138888888889,3.11
4232,52943,Nu  Hya,10.827083333333333,162.40625,-16.19361111111111,3.11
2040,27628,Bet Col,5.849333333333333,87.74,-35.76833333333333,3.12
3803,46701,,9.520361111111113,142.8054166666667,-57.03444444444444,3.13
5576,73334,Kap Cen,14.986027777777776,224.79041666666666,-42.10416666666667,3.13
6285,83081,Zet Ara,16.976999999999997,254.65499999999994,-55.99027777777778,3.13
4467,56561,Lam Cen,11.596333333333334,173.945,-63.01972222222222,3.13
3705,45860,40Alp Lyn,9.350916666666667,140.26375,34.3925,3.13
6410,84379,65Del Her,17.250527777777776,258.75791666666663,24.839166666666664,3.14
3569,44127,9Iot UMa,8.986777777777776,134.80166666666665,48.041666666666664,3.14
6418,84380,67Pi  Her,17.250777777777778,258.76166666666666,36.80916666666666,3.16
6396,83895,22Zet Dra,17.146444444444445,257.19666666666666,65.71472222222222,3.17
2451,31685,Nu  Pup,6.629361111111112,99.44041666666668,-43.19611111111111,3.17
1641,23767,10Eta Aur,5.108583333333333,76.62875,41.23444444444444,3.17
3775,46853,25The UMa,9.547611111111111,143.21416666666667,51.67722222222222,3.17
7039,92041,27Phi Sgr,18.760944444444444,281.4141666666667,-26.990833333333335,3.17
1654,23685,2Eps Lep,5.091027777777778,76.36541666666666,-22.371111111111112,3.19
5463,71908,Alp Cir,14.708444444444444,220.62666666666667,-64.97527777777778,3.19
1543,22449,1Pi 3Ori,4.830666666666667,72.46,6.961388888888889,3.19
6299,83000,27Kap Oph,16.96113888888889,254.41708333333335,9.375,3.2
8115,104732,64Zet Cyg,21.21561111111111,318.2341666666666,30.22694444444444,3.2
6630,87261,,17.830972222222222,267.46458333333334,-37.04333333333333,3.21
8974,116727,35Gam Cep,23.655777777777775,354.83666666666664,77.6325,3.21
5695,75141,Del Lup,15.356194444444444,230.34291666666667,-40.6475,3.22
8238,106032,8Bet Cep,21.477666666666664,322.16499999999996,70.56083333333333,3.23
7710,99473,65The Aql,20.18841666666667,302.82625,-0.8213888888888888,3.23
7178,93194,14Gam Lyr,18.982388888888888,284.73583333333335,32.68944444444444,3.24
1208,17678,Gam Hyi,3.7873055555555553,56.80958333333333,-74.2388888888889,3.24
6075,79882,2Eps Oph,16.30536111111111,244.58041666666668,-4.6925,3.24
897,13847,The1Eri,2.971027777777778,44.56541666666667,-40.30472222222222,3.24
2878,36377,Sig Pup,7.487166666666667,112.3075,-43.30138888888889,3.25
6869,89962,58Eta Ser,18.35516666666667,275.32750000000004,-2.898888888888889,3.26
1465,21281,Alp Dor,4.5666111111111105,68.49916666666665,-55.044999999999995,3.27
165,3092,31Del And,0.6554722222222222,9.832083333333333,30.860833333333336,3.27
6453,84970,42The Oph,17.366833333333332,260.5025,-24.999444444444446,3.27
2550,32607,Alp Pic,6.803166666666667,102.0475,-61.94138888888889,3.27
8709,113136,76Del Aqr,22.910833333333333,343.66249999999997,-15.820833333333333,3.27
5287,68895,49Pi  Hya,14.106194444444444,211.59291666666667,-26.6825,3.27
2216,29655,7Eta Gem,6.247944444444444,93.71916666666667,22.506666666666668,3.28
5603,73714,20Sig Lib,15.067833333333333,226.01749999999998,-25.281944444444445,3.29
5744,75458,12Iot Dra,15.4155,231.2325,58.96611111111111,3.29
322,5165,Bet Phe,1.101388888888889,16.520833333333336,-46.718611111111116,3.31
1702,24305,5Mu  Lep,5.215527777777778,78.23291666666667,-16.205555555555556,3.31
4660,59774,69Del UMa,12.257111111111112,183.85666666666668,57.0325,3.31
4037,50099,Ome Car,10.228944444444444,153.43416666666667,-70.03805555555556,3.32
4140,51576,,10.533722222222222,158.00583333333333,-61.68527777777778,3.32
7234,93864,40Tau Sgr,19.11566666666667,286.735,-27.670555555555556,3.32
6380,84143,Eta Sco,17.202555555555556,258.03833333333336,-43.23916666666667,3.33
6462,85267,Gam Ara,17.423222222222222,261.34833333333336,-56.3775,3.34
6698,88048,64Nu  Oph,17.983777777777778,269.75666666666666,-9.773611111111112,3.34
3045,38170,7Xi  Pup,7.821583333333333,117.32374999999999,-24.859722222222224,3.34
4359,54879,70The Leo,11.237333333333332,168.55999999999997,15.429444444444444,3.34
8465,109492,21Zet Cep,22.18091666666667,332.71375,58.20111111111111,3.35
1336,19780,Alp Ret,4.2404166666666665,63.606249999999996,-62.473888888888894,3.35
1788,25281,28Eta Ori,5.407944444444444,81.11916666666667,-2.3969444444444443,3.36
7377,95501,30Del Aql,19.424972222222223,291.37458333333336,3.1147222222222224,3.36
3323,41704,1Omi UMa,8.504416666666666,127.56624999999998,60.71805555555556,3.36
2484,32362,31Xi  Gem,6.754833333333333,101.32249999999999,12.895555555555555,3.36
5708,75264,Eps Lup,15.378027777777778,230.67041666666665,-44.68944444444444,3.37
